country,department,month,revenue,interest_income,fee_income,operating_expenses,loan_loss_provisions,net_income,tax,net_profit_after_tax
USA,Finance,2020-01-01,11274460.36,6576929.94,4697530.42,6814148.07,209151.35,4251160.94,1062790.24,3188370.7
USA,Finance,2020-02-01,12089864.82,7325491.88,4764372.94,6504221.68,152929.61,5432713.53,1358178.38,4074535.15
USA,Finance,2020-03-01,12267092.22,7381815.88,4885276.34,6507035.72,397924.21,5362132.29,1340533.07,4021599.22
USA,Finance,2020-04-01,13148752.99,7818839.54,5329913.45,6915837.66,484581.5,5748333.83,1437083.46,4311250.37
USA,Finance,2020-05-01,12755119.33,7631157.71,5123961.62,6845352.47,349595.15,5560171.71,1390042.93,4170128.78
USA,Finance,2020-06-01,12306420.66,7564352.54,4742068.12,6432885.7,366206.72,5507328.24,1376832.06,4130496.18
USA,Finance,2020-07-01,11242644.83,6681860.81,4560784.02,6492600.71,316046.53,4433997.59,1108499.4,3325498.19
USA,Finance,2020-08-01,11211821.72,6729827.11,4481994.61,6584668.32,121656.65,4505496.75,1126374.19,3379122.56
USA,Finance,2020-09-01,10508751.74,6108733.76,4400017.98,6827599.4,107040.89,3574111.45,893527.86,2680583.59
USA,Finance,2020-10-01,10380764.02,6312281.19,4068482.83,7106577.38,119174.57,3155012.07,788753.02,2366259.05
USA,Finance,2020-11-01,10772490.5,6465028.7,4307461.8,6692318.76,114736.63,3965435.11,991358.78,2974076.33
USA,Finance,2020-12-01,11318798.76,6694597.53,4624201.23,6758395.96,249465.54,4310937.26,1077734.32,3233202.94
USA,Finance,2021-01-01,11601168.95,6952589.64,4648579.31,6542616.67,475468.54,4583083.74,1145770.94,3437312.8
USA,Finance,2021-02-01,12188225.87,7446077.99,4742147.88,6705034.72,601594.66,4881596.49,1220399.12,3661197.37
USA,Finance,2021-03-01,12943256.71,7720293.42,5222963.29,7137729.59,565918.35,5239608.77,1309902.19,3929706.58
USA,Finance,2021-04-01,13195304.23,8178889.4,5016414.83,6680044.87,567639.04,5947620.32,1486905.08,4460715.24
USA,Finance,2021-05-01,12900832.72,7475321.69,5425511.03,7131719.11,502747.18,5266366.43,1316591.61,3949774.82
USA,Finance,2021-06-01,12102913.89,7303294.27,4799619.62,7050867.07,514268.3,4537778.52,1134444.63,3403333.89
USA,Finance,2021-07-01,12186211.54,7391571.16,4794640.38,6567585.88,457344.25,5161281.41,1290320.35,3870961.06
USA,Finance,2021-08-01,11235645.67,6514739.49,4720906.18,6606665.33,133930.42,4495049.92,1123762.48,3371287.44
USA,Finance,2021-09-01,10717615.88,6441229.16,4276386.72,7066681.16,446550.68,3204384.04,801096.01,2403288.03
USA,Finance,2021-10-01,10817602.23,6407773.25,4409828.98,7244934.23,360638.61,3212029.39,803007.35,2409022.04
USA,Finance,2021-11-01,10661679.95,6344397.4,4317282.55,6717913.75,355729.21,3588036.99,897009.25,2691027.74
USA,Finance,2021-12-01,11876004.21,7113143.13,4762861.08,7071858.57,436198.63,4367947.01,1091986.75,3275960.26
USA,Finance,2022-01-01,11970465.73,7263817.09,4706648.64,6974260.43,354375.51,4641829.79,1160457.45,3481372.34
USA,Finance,2022-02-01,12679538.04,7457632.22,5221905.82,6990917.17,173354.33,5515266.54,1378816.64,4136449.9
USA,Finance,2022-03-01,13498199.39,8116255.67,5381943.72,6913233.3,586114.55,5998851.54,1499712.88,4499138.66
USA,Finance,2022-04-01,13236232.6,7811917.59,5424315.01,7279867.76,500311.1,5456053.74,1364013.44,4092040.3
USA,Finance,2022-05-01,12886422.85,7598702.22,5287720.63,6840540.47,474477.55,5571404.83,1392851.21,4178553.62
USA,Finance,2022-06-01,12721763.03,7658593.3,5063169.73,7047666.64,300462.67,5373633.72,1343408.43,4030225.29
USA,Finance,2022-07-01,12576438.19,7561226.68,5015211.51,7079569.73,283402.0,5213466.46,1303366.62,3910099.84
USA,Finance,2022-08-01,12036441.15,7287696.9,4748744.25,7193055.01,528547.56,4314838.58,1078709.64,3236128.94
USA,Finance,2022-09-01,10771542.94,6456365.65,4315177.29,7392106.8,273845.26,3105590.88,776397.72,2329193.16
USA,Finance,2022-10-01,11080528.86,6603715.99,4476812.87,6898596.24,288184.57,3893748.05,973437.01,2920311.04
USA,Finance,2022-11-01,10918860.76,6455660.68,4463200.08,7255758.66,524758.09,3138344.01,784586.0,2353758.01
USA,Finance,2022-12-01,11584776.02,7084489.19,4500286.83,7108554.23,165510.95,4310710.84,1077677.71,3233033.13
USA,Finance,2023-01-01,11828779.15,7125028.95,4703750.2,7121764.53,244504.02,4462510.6,1115627.65,3346882.95
USA,Finance,2023-02-01,12996284.09,7780722.85,5215561.24,7057052.44,191474.87,5747756.78,1436939.2,4310817.58
USA,Finance,2023-03-01,13439138.56,8126839.0,5312299.56,6969802.32,347766.2,6121570.04,1530392.51,4591177.53
USA,Finance,2023-04-01,13520849.4,8144365.55,5376483.85,7147600.61,335198.45,6038050.34,1509512.58,4528537.76
USA,Finance,2023-05-01,13097539.64,7750289.7,5347249.94,7511422.19,232576.48,5353540.97,1338385.24,4015155.73
USA,Finance,2023-06-01,12682189.86,7613338.3,5068851.56,7054751.43,434972.8,5192465.63,1298116.41,3894349.22
USA,Finance,2023-07-01,12313663.59,7510979.54,4802684.05,6904359.1,245753.26,5163551.23,1290887.81,3872663.42
USA,Finance,2023-08-01,11431629.75,6857806.2,4573823.55,7529277.86,377349.18,3525002.71,881250.68,2643752.03
USA,Finance,2023-09-01,11290224.45,6693482.54,4596741.91,7093533.73,511492.46,3685198.26,921299.56,2763898.7
USA,Finance,2023-10-01,11399970.07,6920028.31,4479941.76,7191939.75,214268.5,3993761.82,998440.46,2995321.36
USA,Finance,2023-11-01,11808866.85,7121849.32,4687017.53,7279632.56,198875.07,4330359.22,1082589.8,3247769.42
USA,Finance,2023-12-01,11832322.86,6974806.68,4857516.18,7446688.87,254621.47,4131012.52,1032753.13,3098259.39
USA,Finance,2024-01-01,12097570.67,7203368.4,4894202.27,7607909.24,422020.53,4067640.9,1016910.22,3050730.68
USA,Finance,2024-02-01,13667282.99,8164178.48,5503104.51,7460795.02,229737.5,5976750.47,1494187.62,4482562.85
USA,Finance,2024-03-01,13743815.4,8416512.49,5327302.91,7213366.17,387694.52,6142754.71,1535688.68,4607066.03
USA,Finance,2024-04-01,14453094.92,8771190.48,5681904.44,7296868.81,156571.45,6999654.66,1749913.66,5249741.0
USA,Finance,2024-05-01,14432079.24,8690148.44,5741930.8,7120732.57,583206.53,6728140.14,1682035.04,5046105.1
USA,Finance,2024-06-01,12913123.59,7637869.76,5275253.83,7357218.58,129651.1,5426253.91,1356563.48,4069690.43
USA,Finance,2024-07-01,13043661.89,7949004.57,5094657.32,7053753.65,139510.22,5850398.02,1462599.5,4387798.52
USA,Finance,2024-08-01,12184521.15,7424304.82,4760216.33,7202046.92,367069.16,4615405.07,1153851.27,3461553.8
USA,Finance,2024-09-01,12015760.84,7203762.59,4811998.25,7119872.93,506532.87,4389355.04,1097338.76,3292016.28
USA,Finance,2024-10-01,11438496.12,6820110.84,4618385.28,7319011.34,364071.35,3755413.43,938853.36,2816560.07
USA,Finance,2024-11-01,11749212.09,7165109.56,4584102.53,7412515.62,506508.29,3830188.18,957547.04,2872641.14
USA,Finance,2024-12-01,12015101.89,7199481.1,4815620.79,7469853.26,439241.86,4106006.77,1026501.69,3079505.08
USA,Accounting,2020-01-01,43485237.35,26317210.81,17168026.54,31291740.13,1547727.11,10645770.11,2661442.53,7984327.58
USA,Accounting,2020-02-01,45077306.74,26755291.28,18322015.46,30418469.25,2243203.77,12415633.72,3103908.43,9311725.29
USA,Accounting,2020-03-01,46616277.71,28345074.5,18271203.21,31599637.24,1763598.37,13253042.1,3313260.52,9939781.58
USA,Accounting,2020-04-01,47840590.03,28966183.47,18874406.56,30128371.42,2240178.22,15472040.39,3868010.1,11604030.29
USA,Accounting,2020-05-01,47009678.84,28517429.26,18492249.58,30769570.44,1648895.9,14591212.5,3647803.12,10943409.38
USA,Accounting,2020-06-01,47482621.2,28078690.67,19403930.53,33080976.84,2138793.59,12262850.77,3065712.69,9197138.08
USA,Accounting,2020-07-01,44320552.54,25807693.65,18512858.89,31128469.35,1030356.53,12161726.66,3040431.66,9121295.0
USA,Accounting,2020-08-01,43298566.26,25617450.06,17681116.2,30960080.05,763046.59,11575439.62,2893859.9,8681579.72
USA,Accounting,2020-09-01,41291898.91,24655457.97,16636440.94,32791503.06,616011.15,7884384.7,1971096.18,5913288.52
