country,department,month,budgeted_revenue,budgeted_expenses,budgeted_net_income,budgeted_tax,budgeted_net_profit_after_tax,variance_revenue,variance_expenses,variance_net_profit
USA,Finance,2025-01-01,22064645.18,15906032.23,6158612.95,1539653.24,4618959.71,725926.6,-472257.93,1198184.53
USA,Finance,2025-02-01,22734898.37,15871393.47,6863504.9,1715876.23,5147628.67,591122.56,636674.38,-45551.82
USA,Finance,2025-03-01,22408750.43,15674536.19,6734214.24,1683553.56,5050660.68,-67465.4,238095.54,-305560.94
USA,Finance,2025-04-01,22342457.47,15916270.34,6426187.13,1606546.78,4819640.35,519011.03,-454490.6,973501.63
USA,Finance,2025-05-01,22341117.55,15939931.87,6401185.68,1600296.42,4800889.26,-1085946.85,-396794.49,-689152.36
USA,Finance,2025-06-01,22360860.15,15688584.66,6672275.49,1668068.87,5004206.62,-1090189.48,648164.95,-1738354.43
USA,Finance,2025-07-01,23070339.41,15953677.61,7116661.8,1779165.45,5337496.35,29186.48,218430.72,-189244.24
USA,Finance,2025-08-01,22662730.66,15790831.37,6871899.29,1717974.82,5153924.47,101871.48,-164385.71,266257.19
USA,Finance,2025-09-01,22665061.08,16330840.01,6334221.07,1583555.27,4750665.8,1065005.01,692149.5,372855.51
USA,Finance,2025-10-01,22474532.47,16417454.25,6057078.22,1514269.55,4542808.67,814379.17,-438930.88,1253310.05
USA,Finance,2025-11-01,22555938.65,15937598.79,6618339.86,1654584.97,4963754.89,343691.29,-79352.91,423044.2
USA,Finance,2025-12-01,22666683.76,16136257.83,6530425.93,1632606.48,4897819.45,-499803.84,-775056.31,275252.47
USA,Finance,2026-01-01,23261583.38,16330924.49,6930658.89,1732664.72,5197994.17,212995.01,333403.16,-120408.15
USA,Finance,2026-02-01,22766645.35,16194965.38,6571679.97,1642919.99,4928759.98,-521987.74,806234.99,-1328222.73
USA,Finance,2026-03-01,22962781.32,16462365.39,6500415.93,1625103.98,4875311.95,-975267.54,199827.03,-1175094.57
USA,Finance,2026-04-01,23470467.97,16350751.51,7119716.46,1779929.11,5339787.35,1067323.04,692612.81,374710.23
USA,Finance,2026-05-01,23005388.85,16376198.6,6629190.25,1657297.56,4971892.69,1040115.07,-772692.46,1812807.53
USA,Finance,2026-06-01,23619833.55,16609315.63,7010517.92,1752629.48,5257888.44,-824277.02,-183076.86,-641200.16
USA,Finance,2026-07-01,23241837.59,16906184.74,6335652.85,1583913.21,4751739.64,-216442.31,-535364.36,318922.05
USA,Finance,2026-08-01,23418557.97,16993337.95,6425220.02,1606305.0,4818915.02,800872.31,498671.07,302201.24
USA,Finance,2026-09-01,23307826.84,16387854.62,6919972.22,1729993.05,5189979.17,774709.59,317755.94,456953.65
USA,Finance,2026-10-01,23835791.91,16540428.79,7295363.12,1823840.78,5471522.34,-954197.33,55525.23,-1009722.56
USA,Finance,2026-11-01,23854072.93,16495041.65,7359031.28,1839757.82,5519273.46,-464012.38,42623.95,-506636.33
USA,Finance,2026-12-01,23423542.89,16774756.03,6648786.86,1662196.72,4986590.14,-1053449.21,-818609.43,-234839.78
USA,Accounting,2025-01-01,29757762.34,17784434.69,11973327.65,2993331.91,8979995.74,1279485.79,496249.81,783235.98
USA,Accounting,2025-02-01,29110138.89,18040551.25,11069587.64,2767396.91,8302190.73,851245.95,-196779.6,1048025.55
USA,Accounting,2025-03-01,30114585.61,18375904.6,11738681.01,2934670.25,8804010.76,-1294690.95,-256544.22,-1038146.73
USA,Accounting,2025-04-01,29734876.7,18300818.82,11434057.88,2858514.47,8575543.41,-1394038.61,-294708.79,-1099329.82
USA,Accounting,2025-05-01,29902935.57,18186135.62,11716799.95,2929199.99,8787599.96,-1315931.03,-9215.23,-1306715.8
USA,Accounting,2025-06-01,29584218.99,18712221.77,10871997.22,2717999.31,8153997.91,186634.42,-912549.66,1099184.08
USA,Accounting,2025-07-01,30468918.46,18222590.04,12246328.42,3061582.1,9184746.32,-117368.93,-565799.47,448430.54
USA,Accounting,2025-08-01,30534746.54,18600287.39,11934459.15,2983614.79,8950844.36,-1002562.06,-756056.69,-246505.37
USA,Accounting,2025-09-01,29928476.94,18772597.21,11155879.73,2788969.93,8366909.8,198640.17,456632.93,-257992.76
USA,Accounting,2025-10-01,30342294.6,18279103.46,12063191.14,3015797.79,9047393.35,-334227.78,-653413.89,319186.11
USA,Accounting,2025-11-01,30001182.26,18876079.17,11125103.09,2781275.77,8343827.32,-738371.63,698676.89,-1437048.52
USA,Accounting,2025-12-01,30809609.68,18538333.06,12271276.62,3067819.15,9203457.47,-284949.83,-719519.68,434569.85
USA,Accounting,2026-01-01,30636832.44,18809875.02,11826957.42,2956739.35,8870218.07,144476.11,926969.46,-782493.35
USA,Accounting,2026-02-01,30199965.15,19063567.39,11136397.76,2784099.44,8352298.32,-136539.58,-369083.53,232543.95
USA,Accounting,2026-03-01,30704653.38,19231066.93,11473586.45,2868396.61,8605189.84,-1090937.1,-527733.38,-563203.72
USA,Accounting,2026-04-01,30662588.39,19190755.11,11471833.28,2867958.32,8603874.96,1320556.61,-706709.87,2027266.48
USA,Accounting,2026-05-01,30823781.44,18665982.67,12157798.77,3039449.69,9118349.08,-316525.06,-664376.95,347851.89
USA,Accounting,2026-06-01,30688871.17,19342456.37,11346414.8,2836603.7,8509811.1,-706218.13,-807968.9,101750.77
USA,Accounting,2026-07-01,31740706.75,19399570.9,12341135.85,3085283.96,9255851.89,521559.97,-936965.03,1458525.0
USA,Accounting,2026-08-01,30977257.75,19323153.44,11654104.31,2913526.08,8740578.23,-167036.79,661953.37,-828990.16
USA,Accounting,2026-09-01,31832295.21,19096960.19,12735335.02,3183833.75,9551501.27,-1519661.21,333056.6,-1852717.81
USA,Accounting,2026-10-01,31340569.68,19343229.65,11997340.03,2999335.01,8998005.02,-577273.64,-532617.18,-44656.46
USA,Accounting,2026-11-01,31063135.21,19230647.42,11832487.79,2958121.95,8874365.84,470748.39,197456.24,273292.15
USA,Accounting,2026-12-01,31364996.92,19399517.74,11965479.18,2991369.79,8974109.39,1475758.67,343618.29,1132140.38
USA,Human Resources,2025-01-01,17297538.74,10097100.02,7200438.72,1800109.68,5400329.04,-258156.13,-118878.28,-139277.85
USA,Human Resources,2025-02-01,16963333.77,9934388.34,7028945.43,1757236.36,5271709.07,283991.38,-179147.68,463139.06
USA,Human Resources,2025-03-01,17565790.15,10156506.7,7409283.45,1852320.86,5556962.59,600036.26,-334423.77,934460.03
USA,Human Resources,2025-04-01,17271580.16,10308395.42,6963184.74,1740796.19,5222388.55,852124.02,209382.78,642741.24
USA,Human Resources,2025-05-01,17533227.01,10307063.85,7226163.16,1806540.79,5419622.37,674847.15,-252214.62,927061.77
USA,Human Resources,2025-06-01,17462192.5,10333054.71,7129137.79,1782284.45,5346853.34,712982.93,14151.26,698831.67
USA,Human Resources,2025-07-01,17419650.32,10127047.1,7292603.22,1823150.8,5469452.42,-210134.68,-446818.05,236683.37
USA,Human Resources,2025-08-01,17182413.99,10284962.37,6897451.62,1724362.91,5173088.71,-323095.45,-248054.88,-75040.57
USA,Human Resources,2025-09-01,17585508.9,10193671.01,7391837.89,1847959.47,5543878.42,564256.34,58603.66,505652.68
USA,Human Resources,2025-10-01,17339025.01,10361540.24,6977484.77,1744371.19,5233113.58,124645.16,-9640.69,134285.85
USA,Human Resources,2025-11-01,17765310.85,10392926.51,7372384.34,1843096.08,5529288.26,-735920.84,-207052.52,-528868.32
USA,Human Resources,2025-12-01,17413216.0,10424871.56,6988344.44,1747086.11,5241258.33,393712.18,30322.33,363389.85
USA,Human Resources,2026-01-01,18014032.53,10589615.52,7424417.01,1856104.25,5568312.76,854739.38,-113268.52,968007.9
USA,Human Resources,2026-02-01,18164695.16,10508026.23,7656668.93,1914167.23,5742501.7,605984.63,299923.29,306061.34
USA,Human Resources,2026-03-01,18229807.25,10392939.55,7836867.7,1959216.93,5877650.77,-421080.26,-65427.43,-355652.83
USA,Human Resources,2026-04-01,17901573.33,10705523.65,7196049.68,1799012.42,5397037.26,7464.39,-409734.27,417198.66
USA,Human Resources,2026-05-01,18042940.11,10557900.28,7485039.83,1871259.96,5613779.87,-327369.06,-72117.37,-255251.69
USA,Human Resources,2026-06-01,17787132.81,10726842.47,7060290.34,1765072.58,5295217.76,-590225.91,534058.46,-1124284.37
USA,Human Resources,2026-07-01,17875007.5,10702803.65,7172203.85,1793050.96,5379152.89,333045.77,259589.69,73456.08
USA,Human Resources,2026-08-01,18409910.82,10576875.7,7833035.12,1958258.78,5874776.34,-315079.23,400492.58,-715571.81
USA,Human Resources,2026-09-01,18385844.39,10454442.8,7931401.59,1982850.4,5948551.19,-881378.44,50749.78,-932128.22
USA,Human Resources,2026-10-01,18157268.99,10822616.77,7334652.22,1833663.05,5500989.17,442631.96,534706.46,-92074.5
USA,Human Resources,2026-11-01,18264530.86,10767541.06,7496989.8,1874247.45,5622742.35,204903.25,-534760.57,739663.82
USA,Human Resources,2026-12-01,18365591.22,10872876.98,7492714.24,1873178.56,5619535.68,125121.34,-445808.3,570929.64
USA,Facilities,2025-01-01,16020337.9,9863944.27,6156393.63,1539098.41,4617295.22,570122.11,-402108.35,972230.46
USA,Facilities,2025-02-01,16438959.92,9957339.06,6481620.86,1620405.22,4861215.64,-571635.05,-263772.95,-307862.1
USA,Facilities,2025-03-01,16565607.26,9773525.75,6792081.51,1698020.38,5094061.13,-71652.33,324157.74,-395810.07
USA,Facilities,2025-04-01,16606921.77,10097737.03,6509184.74,1627296.19,4881888.55,128155.07,-40561.47,168716.54
USA,Facilities,2025-05-01,16684820.43,9769402.11,6915418.32,1728854.58,5186563.74,-819380.88,288350.46,-1107731.34
USA,Facilities,2025-06-01,16482419.66,9997404.97,6485014.69,1621253.67,4863761.02,564762.24,-417691.08,982453.32
USA,Facilities,2025-07-01,16875732.71,10173660.48,6702072.23,1675518.06,5026554.17,-126133.61,508657.53,-634791.14
USA,Facilities,2025-08-01,16614344.68,9854638.14,6759706.54,1689926.64,5069779.9,-792408.43,95319.22,-887727.65
USA,Facilities,2025-09-01,16966217.05,10104642.5,6861574.55,1715393.64,5146180.91,-377786.71,-283821.14,-93965.57
USA,Facilities,2025-10-01,16742904.56,10255759.27,6487145.29,1621786.32,4865358.97,373387.73,-262220.77,635608.5
USA,Facilities,2025-11-01,16799292.71,10301618.21,6497674.5,1624418.62,4873255.88,39295.85,-427349.28,466645.13
USA,Facilities,2025-12-01,16609671.03,10199401.88,6410269.15,1602567.29,4807701.86,242105.51,198177.32,43928.19
USA,Facilities,2026-01-01,16818617.65,10040526.84,6778090.81,1694522.7,5083568.11,123332.79,306091.35,-182758.56
USA,Facilities,2026-02-01,16745283.93,10019195.32,6726088.61,1681522.15,5044566.46,227605.2,305505.16,-77899.96
USA,Facilities,2026-03-01,17144255.08,10068715.22,7075539.86,1768884.97,5306654.89,-508407.24,264443.87,-772851.11
USA,Facilities,2026-04-01,16929202.19,10238555.65,6690646.54,1672661.64,5017984.9,-90608.99,-127918.65,37309.66
USA,Facilities,2026-05-01,17181322.1,10344662.0,6836660.1,1709165.02,5127495.08,-372175.7,404032.26,-776207.96
USA,Facilities,2026-06-01,17023382.67,10294574.63,6728808.04,1682202.01,5046606.03,-99388.04,222480.21,-321868.25
USA,Facilities,2026-07-01,16949414.98,10384530.48,6564884.5,1641221.12,4923663.38,-394927.2,149498.21,-544425.41
USA,Facilities,2026-08-01,16942745.22,10243118.79,6699626.43,1674906.61,5024719.82,457438.91,420223.78,37215.13
USA,Facilities,2026-09-01,17457037.66,10277580.92,7179456.74,1794864.19,5384592.55,-632341.43,-285210.88,-347130.55
USA,Facilities,2026-10-01,17338265.55,10628690.53,6709575.02,1677393.75,5032181.27,-365861.73,-530234.98,164373.25
USA,Facilities,2026-11-01,17745604.76,10435907.11,7309697.65,1827424.41,5482273.24,-827511.81,-160033.99,-667477.82
USA,Facilities,2026-12-01,17744013.18,10509758.73,7234254.45,1808563.61,5425690.84,335055.19,425471.29,-90416.1
